id_track,id_marine,lat,lon,speed,course,age,date_add
1450366,82,43.1077,131.922,0,110,3,2/23/2016 0:00
1450367,83,43.1078,131.923,0,299,3,2/23/2016 0:00
1450368,84,43.1079,131.922,0,80,3,2/23/2016 0:00
1450369,86,43.1207,131.917,0,0,2,2/23/2016 0:00
1450370,55,43.0415,131.928,0,314,4,2/23/2016 0:00
1450371,144,43.0481,131.929,0,250,3,2/23/2016 0:00
1450372,31,43.0535,131.926,76,117,2,2/23/2016 0:00
1450373,142,43.0737,131.926,0,227,2,2/23/2016 0:00
1450374,89,43.1049,131.926,0,7,4,2/23/2016 0:00
1450375,90,43.1053,131.927,1,347,2,2/23/2016 0:00
1450376,88,43.1079,131.93,2,8,3,2/23/2016 0:00
1450377,92,43.1079,131.926,0,0,5,2/23/2016 0:00
1450378,93,43.0404,131.935,0,0,4,2/23/2016 0:00
1450379,115,43.0737,131.933,0,0,14,2/23/2016 0:00
1450380,118,43.0814,131.984,0,272,9,2/23/2016 0:00
1450381,147,43.0397,131.994,75,277,2,2/23/2016 0:00
1450382,98,43.0796,131.994,1,343,3,2/23/2016 0:00
1450383,99,43.0798,131.995,0,224,3,2/23/2016 0:00
1450384,100,43.0847,132.008,1,3,22,2/23/2016 0:00
1450385,143,43.0657,132.012,1,69,3,2/23/2016 0:00
1450386,102,43.0889,132.018,1,330,3,2/23/2016 0:00
1450387,113,43.0915,132.029,1,250,2,2/23/2016 0:00
1450388,134,43.0512,132.033,0,0,4,2/23/2016 0:00
1450389,111,43.0836,132.038,0,212,2,2/23/2016 0:00
1450390,103,43.0838,132.038,1,227,3,2/23/2016 0:00
1450391,133,43.0652,132.04,2,0,2,2/23/2016 0:00
1450392,150,43.0964,131.803,93,334,3,2/23/2016 0:00
1450393,1,43.0798,131.853,0,21,3,2/23/2016 0:00
1450394,2,43.0801,131.855,0,204,2,2/23/2016 0:00
1450395,136,43.0909,131.869,0,353,2,2/23/2016 0:00
1450396,128,43.093,131.872,0,280,4,2/23/2016 0:00
1450397,5,43.0948,131.874,0,359,2,2/23/2016 0:00
1450398,114,43.0977,131.871,0,258,3,2/23/2016 0:00
1450399,130,43.0993,131.87,0,293,3,2/23/2016 0:00
1450400,12,43.1011,131.873,0,309,4,2/23/2016 0:00
1450401,14,43.0618,131.883,0,0,3,2/23/2016 0:00
1450402,15,43.0803,131.884,0,282,2,2/23/2016 0:00
1450403,135,43.0863,131.884,0,50,3,2/23/2016 0:00
1450404,125,43.0927,131.88,0,181,2,2/23/2016 0:00
1450405,122,43.0927,131.88,0,234,20,2/23/2016 0:00
1450406,18,43.0934,131.88,0,93,2,2/23/2016 0:00
1450407,19,43.0936,131.88,0,312,3,2/23/2016 0:00
1450408,20,43.0939,131.881,0,318,3,2/23/2016 0:00
1450409,137,43.0963,131.883,0,218,8,2/23/2016 0:00
1450410,138,43.0977,131.882,0,41,6,2/23/2016 0:00
1450411,139,43.098,131.882,0,12,3,2/23/2016 0:00
1450412,48,43.0989,131.879,113,200,3,2/23/2016 0:00
1450413,131,43.1007,131.883,0,268,4,2/23/2016 0:00
1450414,149,43.101,131.883,0,4,7,2/23/2016 0:00
1450415,146,43.1039,131.878,0,290,3,2/23/2016 0:00
1450416,70,43.1039,131.878,0,122,3,2/23/2016 0:00
1450417,17,43.109,131.883,0,0,5,2/23/2016 0:00
1450418,26,43.062,131.887,0,202,5,2/23/2016 0:00
1450419,27,43.0621,131.887,0,111,4,2/23/2016 0:00
1450420,94,43.0622,131.887,0,0,4,2/23/2016 0:00
